Mfr	Part	Description	Unit	StandardPack	Price	List	BarCode	Mfr.Part.Unit
VGP	8R	#23 LOCKING PINCH OFF TOOL	EA	1	19.04	28.22	038548000237	VGP.8R.EA
VGP	9R	WELDING CLAMP	EA	1	22.68	33.62	038548000251	VGP.9R.EA
VGP	10	#10310 UNIBIT STEP DRILL	EA	1	22.98	34.06	038548103105	VGP.10.EA
VGP	10WR	10"CURVED JAW LOCKING PLIERS	EA	5	13.10	19.41	038548005041	VGP.10WR.EA
VGP	11R	11"LOCKING C-CLAMP REG. TIP FAST RELEASE	EA	1	20.28	30.06	038548000190	VGP.11R.EA
VGP	20R	CHAIN CLAMP	EA	5	28.80	42.68	038548000275	VGP.20R.EA
VGP	10220	#20 9/16"-1" UNIBIT	EA	5	48.84	72.38	038548102207	VGP.10220.EA
VGP	10502ZR	STEP DRILLS	EA	1	87.42	129.56		VGP.10502ZR.EA
VGP	394100	7PC POWER GRIP SET	EA	5	36.38	53.92		VGP.394100.EA
VIL	000-010	CS(1)24"X60"SOCK-TYPE PREFILTER	CS	1	42.97	62.00		VIL.000-010.CS
VIL	000-011	CS(1)30"X60"SOCK-TYPE PREFILTER	CS	1	49.20	71.00		VIL.000-011.CS
VIL	000-012	(OS)CS(6)24X24X15 PKT FILTR W/FRAME	CS	1	300.76	434.00		VIL.000-012.CS
VIL	000-015	CS(6)15"X24"X20"EXTRACTOR BAG	CS	1	180.87	261.00	000023099760	VIL.000-015.CS
VIL	000-020	CS(4)24"X20"X20"INTAKE PREFILTER W/FRME	CS	1	249.48	360.00		VIL.000-020.CS
VIL	000-040	(OS)CS(2)23"X47"X8"PKT FILTR W/FRAME	CS	1	115.73	167.00	6900641	VIL.000-040.CS
VIL	000-041	CS(4)16"X25"X27"EXTRACTOR BAG	CS	1	157.31	227.00		VIL.000-041.CS
VIL	000-042	CS(3)17.75"X23.5"X20"PCK FILTER W/FRAME	CS	1	223.15	322.00		VIL.000-042.CS
VIL	000-043	(4)19 1/2X23 1/2 5 POCKET PREFILTER	CS	1	218.99	316.00		VIL.000-043.CS
VIL	000-060	(4) 20"X24"X36" 8 POCKET PREFILTER	CS	1	407.48	588.00		VIL.000-060.CS
VIL	000-061	CS(2)18"X26.5"X15"PREFILTER W/FRAME	CS	1	138.60	200.00		VIL.000-061.CS
VIL	000-062	CS(6)14"X23"X21"EXH/PREFILTER W/FRAME	CS	1	234.93	339.00		VIL.000-062.CS
VIL	000-064	CS(3)17.75"X23.5"X20"FILTER BAG W/FRAME	CS	1	223.84	323.00		VIL.000-064.CS
VIL	000-070	CS(3)14"X46"X21"EXH/PREFILTER W/FRAME	CS	1	184.34	266.00		VIL.000-070.CS
VIL	000-071	(OS)CS(2) 18"X32"X20" PREFIL W/FRAME	CS	1	221.07	319.00		VIL.000-071.CS
VIL	000-102	CS(2)19.5"X37"X3.75"PREFILTER W/FRAME	CS	1	446.99	645.00		VIL.000-102.CS
VIL	000-105	CS(2)23.75"X43"X10"PCK FILTER W/FRAME	CS	1	172.56	249.00		VIL.000-105.CS
VIL	000-109	CS(2)19.5"X 36.75"X10"PCK FILT W/FRAME	CS	1	185.03	267.00		VIL.000-109.CS
VIL	000-112	(OS)CS(2)39"X43"X10"EXH/BAG WITH FRAME	CS	1	426.89	616.00		VIL.000-112.CS
VIL	000-113	CS(2)23.5"X46"X9"PCK FILTER W/FRAME	CS	1	155.93	225.00		VIL.000-113.CS
VIL	000-140	(OS)CS(2)24"X24"X26"PREFILTER F50	CS	1	269.58	389.00		VIL.000-140.CS
VIL	000-141	(4) 24.5" x 66" EXHAUST BAG GARMAT BOOTH	CS	1	152.46	220.00		VIL.000-141.CS
VIL	000-142	CS(4)24"X24"X26"PCK PREFILTER	CS	1	458.17	727.25		VIL.000-142.CS
VIL	000-320	CS(24)12"X24"X2"PLEATED PREFILTER	CS	1	159.67	253.44		VIL.000-320.CS
VIL	000-324L	WINAIR PLEAT - 20 X 20	EA	1	100.71	159.82		VIL.000-324L.EA
VIL	001-900-20X20	20"X20" CUSTOM CUT PREFILTER R2/3 PLY	EA	1	4.10	5.79		VIL.001-900-20X20.EA
VIL	001-900-24X24	24"X24" CUSTOM CUT PREFILTER R2/3 PLY	EA	1	5.91	8.35		VIL.001-900-24X24.EA
VIL	001-900-48X108	48"X108"CUSTOM CUT PREFILTER R2/3PLY	EA	1	53.24	75.13		VIL.001-900-48X108.EA
VIL	001-920	(OS)CS(2)25"X81"PREFILTER PAD R2/3PLY	CS	1	47.12	68.00		VIL.001-920.CS
